,Date,Amount,Opened,Note
0,2023-01-07 22:08:07.997496+00:00,0,True,Before librarian was hired
1,2023-01-08 17:24:54.588030+00:00,500,True,-
2,2023-01-15 14:11:24.895933+00:00,500,True,-
3,2023-01-22 19:39:37.725863+00:00,500,True,-
4,2023-01-29 10:51:26.268465+00:00,500,True,-
5,2023-02-05 15:49:16.826634+00:00,500,True,.
6,2023-02-12 14:49:42.631817+00:00,500,True,-
7,2023-02-19 10:14:45.928362+00:00,500,True,-
8,2023-02-26 10:47:51.926237+00:00,500,True,-
9,2023-03-05 17:24:54.588030+00:00,750,True,pay raised
10,2023-03-12 17:24:54.588030+00:00,750,True,-
11,2023-03-19 17:24:54.588030+00:00,750,True,-
12,2023-04-02 12:20:56.000749+00:00,750,True,-
13,2023-03-26 12:21:34.183993+00:00,750,True,-
14,2023-04-09 15:32:47.147272+00:00,750,True,-
15,2023-04-16 15:34:23.320943+00:00,750,True,-
16,2023-04-23 15:19:48.765595+00:00,750,True,opened despite Eid
17,2023-04-30 15:19:51.099391+00:00,750,True,-
18,2023-05-07 12:49:50.250579+00:00,750,True,-
19,2023-05-14 21:20:43.992673+00:00,750,True,-
20,2023-05-21 21:20:47.240552+00:00,750,True,-
21,2023-05-28 14:43:12.738098+00:00,750,True,-
22,2023-06-04 15:11:39.151973+00:00,750,True,-
23,2023-06-10 15:11:39.151973+00:00,750,True,-
24,2023-06-17 15:11:39.151973+00:00,750,True,-
25,2023-06-24 15:11:39.151973+00:00,750,True,-
26,2023-07-02 15:11:39.151973+00:00,750,True,-
27,2023-07-09 10:53:23.000138+00:00,750,True,-
28,2023-07-16 10:54:24.812048+00:00,750,True,JLP live session
29,2023-07-23 10:54:37.263554+00:00,750,True,-
30,2023-07-30 10:54:37.263554+00:00,750,False,Paid holiday
31,2023-08-06 22:08:07.997496+00:00,1250,True,Fatima and Sidra
32,2023-08-13 18:47:36.364261+00:00,500,True,Sidra absent
33,2023-08-20 00:00:00+00:00,1250,True,-
34,2023-08-27 00:00:00+00:00,1250,True,-
35,2023-09-03 10:50:22.793629+00:00,1250,True,-
36,2023-09-10 10:50:22.793629+00:00,1250,True,-
37,2023-09-17 10:50:22.793629+00:00,1250,True,-
38,2023-09-24 10:50:22.793629+00:00,1250,True,-
